path,source_line,source_type,exists,status
docs/19_verification_coverage_metrics.md,496,backtick,1,OK
matlab/coverage_analysis.m,496,backtick,1,OK
matlab/generate_parameterized_scenarios.m,523,backtick,1,OK
matlab/scenario_batch_verification.m,524,backtick,1,OK
matlab/robustness_monte_carlo_analysis.m,525,backtick,1,OK
matlab/coverage_analysis.m,526,backtick,1,OK
data/parameterized_scenarios.csv,532,backtick,1,OK
results/parameterized_scenario_results.csv,533,backtick,1,OK
results/robustness_results.csv,534,backtick,1,OK
results/robustness_sample_points.csv,535,backtick,1,OK
results/requirement_coverage_results.csv,536,backtick,1,OK
results/odd_coverage_results.csv,537,backtick,1,OK
figures/scenario_parameter_space.png,538,backtick,1,OK
figures/parameterized_verification_summary.png,539,backtick,1,OK
figures/parameterized_warning_state_distribution.png,540,backtick,1,OK
figures/robustness_pass_rate.png,541,backtick,1,OK
figures/threshold_sensitivity_map.png,542,backtick,1,OK
figures/verification_coverage_chart.png,543,backtick,1,OK
figures/odd_coverage_chart.png,544,backtick,1,OK
docs/index.md,563,backtick,1,OK
models/urban_ev_bbw_warning_logic_final_presentation.slx,576,backtick,1,OK
figures/simulink_presentation_model.png,580,backtick,1,OK
docs/15_simulink_verification_model.md,604,backtick,1,OK
models/urban_ev_bbw_warning_logic_test_validation.slx,613,backtick,1,OK
results/simulink_test_validation_results.csv,617,backtick,1,OK
docs/16_simulink_testing_validation.md,621,backtick,1,OK
results/simulink_requirement_test_traceability.csv,632,backtick,1,OK
docs/17_simulink_requirement_test_traceability.md,636,backtick,1,OK
docs/18_before_after_simulink_testing_phase.md,645,backtick,1,OK
UrbanEV_BBW_Simulink_Test_Manager.mldatx,654,backtick,1,OK
docs/19_simulink_test_manager_result.md,658,backtick,1,OK
UrbanEV_BBW_All_Scenarios_Test_Manager_v2.mldatx,667,backtick,1,OK
docs/20_simulink_test_manager_all_scenarios.md,671,backtick,1,OK
docs/21_requirements_not_fully_tested_justification.md,682,backtick,1,OK
docs/22_alignment_with_course_mandatory_contents.md,693,backtick,1,OK
docs/23_final_presentation_narrative.md,704,backtick,1,OK
docs/24_final_submission_checklist.md,715,backtick,1,OK
docs/25_final_presentation_slide_plan.md,726,backtick,1,OK
docs/26_final_presentation_speaker_script.md,735,backtick,1,OK
docs/27_three_minute_presentation_summary.md,744,backtick,1,OK
docs/28_thirty_second_elevator_pitch.md,753,backtick,1,OK
docs/29_final_presentation_q_and_a.md,762,backtick,1,OK
docs/30_final_repository_quality_audit.md,771,backtick,1,OK
results/final_repository_quality_audit.csv,775,backtick,1,OK
docs/31_final_reproducibility_check.md,784,backtick,1,OK
results/final_reproducibility_check.csv,788,backtick,1,OK
docs/32_final_how_to_run_and_evaluate.md,797,backtick,1,OK
docs/33_final_project_score_and_remaining_gaps.md,806,backtick,1,OK
docs/34_what_to_show_during_presentation.md,815,backtick,1,OK
docs/35_ten_minute_pre_presentation_checklist.md,824,backtick,1,OK
docs/36_final_project_completion_report.md,833,backtick,1,OK
docs/37_final_live_demo_sequence.md,842,backtick,1,OK
docs/38_mandatory_content_gap_closure_matrix.md,851,backtick,1,OK
results/mandatory_content_gap_closure_matrix.csv,855,backtick,1,OK
docs/39_black_box_mandatory_package.md,864,backtick,1,OK
data/lifecycle_definition.csv,868,backtick,1,OK
data/system_context_actors.csv,869,backtick,1,OK
data/external_interfaces_detailed.csv,870,backtick,1,OK
data/operating_modes.csv,871,backtick,1,OK
data/services_provided_by_system.csv,872,backtick,1,OK
data/stakeholder_needs_requirements.csv,873,backtick,1,OK
docs/40_black_box_mandatory_diagrams.md,882,backtick,1,OK
figures/lifecycle_diagram.png,886,backtick,1,OK
figures/system_context_diagram.png,887,backtick,1,OK
figures/external_interface_diagram.png,888,backtick,1,OK
figures/operating_modes_diagram.png,889,backtick,1,OK
figures/services_use_case_diagram.png,890,backtick,1,OK
docs/41_concept_generation_screening_scoring_mandatory.md,899,backtick,1,OK
data/concept_generation_mandatory.csv,903,backtick,1,OK
data/actuator_concept_screening_matrix.csv,904,backtick,1,OK
data/actuator_concept_scoring_matrix.csv,905,backtick,1,OK
docs/42_concept_generation_screening_scoring_figures.md,914,backtick,1,OK
figures/concept_generation_summary.png,918,backtick,1,OK
figures/actuator_concept_screening_matrix.png,919,backtick,1,OK
figures/actuator_concept_scoring_matrix.png,920,backtick,1,OK
matlab/build_concept_figures_no_functions.m,924,backtick,1,OK
docs/43_white_box_decomposition_package.md,933,backtick,1,OK
docs/44_white_box_presentation_figures.md,934,backtick,1,OK
data/white_box_functional_decomposition.csv,938,backtick,1,OK
data/white_box_logical_architecture.csv,939,backtick,1,OK
data/white_box_physical_allocation.csv,940,backtick,1,OK
data/white_box_function_to_simulink_mapping.csv,941,backtick,1,OK
data/white_box_traceability_matrix.csv,942,backtick,1,OK
figures/white_box_functional_decomposition.png,946,backtick,1,OK
figures/white_box_logical_architecture.png,947,backtick,1,OK
figures/white_box_physical_allocation.png,948,backtick,1,OK
figures/white_box_traceability_chain.png,949,backtick,1,OK
matlab/build_white_box_figures_no_functions.m,953,backtick,1,OK
matlab/build_white_box_functional_decomposition_final.m,954,backtick,1,OK
matlab/build_white_box_physical_allocation_final.m,955,backtick,1,OK
docs/45_final_course_alignment_audit.md,975,backtick,1,OK
results/mandatory_content_gap_closure_matrix.csv,979,backtick,1,OK
docs/46_final_repository_quality_check.md,990,backtick,1,OK
results/final_repository_quality_check.csv,994,backtick,1,OK
docs/47_final_scope_claim_audit.md,1007,backtick,1,OK
results/final_scope_claim_audit.csv,1011,backtick,1,OK
docs/45_final_course_alignment_audit.md,1022,backtick,1,OK
docs/46_final_repository_quality_check.md,1023,backtick,1,OK
docs/47_final_scope_claim_audit.md,1024,backtick,1,OK
docs/48_final_readme_link_check.md,1025,backtick,1,OK
results/mandatory_content_gap_closure_matrix.csv,1029,backtick,1,OK
results/final_repository_quality_check.csv,1030,backtick,1,OK
results/final_scope_claim_audit.csv,1031,backtick,1,OK
results/final_readme_link_check.csv,1032,backtick,1,OK
