file_path,line_number,matched_phrase,classification,action_needed,line_text
docs\21_requirements_not_fully_tested_justification.md,29,safety case,Safe / negated scope statement,No action needed.,"| ISO 26262 compliance | No formal safety lifecycle or safety case is developed | The project does not claim certified safety compliance |"
docs\22_alignment_with_course_mandatory_contents.md,47,certified,Safe / negated scope statement,No action needed.,"It does not claim production brake-by-wire validation, real vehicle testing, hardware-in-the-loop testing, real sensor fusion, certified safety compliance, or ISO 26262 verification."
docs\22_alignment_with_course_mandatory_contents.md,47,production brake-by-wire,Safe / negated scope statement,No action needed.,"It does not claim production brake-by-wire validation, real vehicle testing, hardware-in-the-loop testing, real sensor fusion, certified safety compliance, or ISO 26262 verification."
docs\23_final_presentation_narrative.md,89,certified,Safe / negated scope statement,No action needed.,"The project remains scope-safe: it does not claim production brake-by-wire design, certified safety validation, real sensor fusion, HIL testing, or ISO 26262 compliance."
docs\23_final_presentation_narrative.md,89,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"The project remains scope-safe: it does not claim production brake-by-wire design, certified safety validation, real sensor fusion, HIL testing, or ISO 26262 compliance."
docs\23_final_presentation_narrative.md,89,production brake-by-wire,Safe / negated scope statement,No action needed.,"The project remains scope-safe: it does not claim production brake-by-wire design, certified safety validation, real sensor fusion, HIL testing, or ISO 26262 compliance."
docs\24_final_submission_checklist.md,57,certified,Safe / negated scope statement,No action needed.,"The project does not claim production brake-by-wire validation, certified safety compliance, real sensor fusion, hardware-in-the-loop testing, or ISO 26262 verification."
docs\24_final_submission_checklist.md,57,production brake-by-wire,Safe / negated scope statement,No action needed.,"The project does not claim production brake-by-wire validation, certified safety compliance, real sensor fusion, hardware-in-the-loop testing, or ISO 26262 verification."
docs\25_final_presentation_slide_plan.md,10,production brake-by-wire,Safe / negated scope statement,No action needed.,"This project presents a concept-level requirements-driven workflow, not a production brake-by-wire system."
docs\26_final_presentation_speaker_script.md,9,production brake-by-wire,Safe / negated scope statement,No action needed.,"The project is not a production brake-by-wire system. It is a concept-level engineering workflow that connects requirements, architecture, MATLAB models, Simulink verification, and Test Manager results."
docs\26_final_presentation_speaker_script.md,124,production brake-by-wire,Safe / negated scope statement,No action needed.,"The main claim is concept-level verification, not production brake-by-wire validation."
docs\27_three_minute_presentation_summary.md,10,production brake-by-wire,Safe / negated scope statement,No action needed.,"The project starts from a simple engineering need: a low-speed urban electric vehicle should be able to identify a critical forward-risk situation and generate an emergency brake request. The goal is not to design a production brake-by-wire system, but to build a concept-level verification workflow."
docs\27_three_minute_presentation_summary.md,22,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"Finally, I added requirement-to-test traceability and a justification document for requirements that are outside the concept-level scope, such as real brake hardware, real sensor fusion, HIL testing, and ISO 26262 compliance."
docs\27_three_minute_presentation_summary.md,27,production brake-by-wire,Safe / negated scope statement,No action needed.,"This project is a concept-level MBSE/RFLP and MATLAB/Simulink verification workflow for emergency brake-request logic in a low-speed urban EV. It connects requirements, scenarios, Simulink architecture, scenario-based testing, Test Manager results, and traceability without claiming production brake-by-wire validation."
docs\28_thirty_second_elevator_pitch.md,14,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"The logic was tested across six scenarios using MATLAB/Simulink and official Simulink Test Manager results. The project is traceable and scope-safe, but it does not claim production brake-by-wire validation or ISO 26262 compliance."
docs\28_thirty_second_elevator_pitch.md,14,production brake-by-wire,Safe / negated scope statement,No action needed.,"The logic was tested across six scenarios using MATLAB/Simulink and official Simulink Test Manager results. The project is traceable and scope-safe, but it does not claim production brake-by-wire validation or ISO 26262 compliance."
docs\28_thirty_second_elevator_pitch.md,18,production brake-by-wire,Safe / negated scope statement,No action needed.,"This is a concept-level MBSE/RFLP and MATLAB/Simulink verification project for emergency brake-request logic. It connects requirements, scenarios, Simulink architecture, testing, Test Manager results, and traceability, while staying clearly outside production brake-by-wire validation."
docs\29_final_presentation_q_and_a.md,12,production brake-by-wire,Safe / negated scope statement,No action needed.,"No. This is not a production brake-by-wire system."
docs\29_final_presentation_q_and_a.md,78,certified,Safe / negated scope statement,No action needed.,"It is a concept-level emergency brake-request logic model. It does not include real perception, sensor fusion, production control, or certified safety validation."
docs\30_final_repository_quality_audit.md,51,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"The project remains a concept-level MBSE/RFLP and MATLAB/Simulink verification workflow. It does not claim production brake-by-wire validation, real sensor fusion, HIL testing, or ISO 26262 compliance."
docs\30_final_repository_quality_audit.md,51,production brake-by-wire,Safe / negated scope statement,No action needed.,"The project remains a concept-level MBSE/RFLP and MATLAB/Simulink verification workflow. It does not claim production brake-by-wire validation, real sensor fusion, HIL testing, or ISO 26262 compliance."
docs\31_final_reproducibility_check.md,32,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"This reproducibility check confirms repository-level consistency for a concept-level MBSE/RFLP and MATLAB/Simulink verification workflow. It does not imply production brake-by-wire validation, HIL validation, real sensor validation, or ISO 26262 compliance."
docs\31_final_reproducibility_check.md,32,production brake-by-wire,Safe / negated scope statement,No action needed.,"This reproducibility check confirms repository-level consistency for a concept-level MBSE/RFLP and MATLAB/Simulink verification workflow. It does not imply production brake-by-wire validation, HIL validation, real sensor validation, or ISO 26262 compliance."
docs\33_final_project_score_and_remaining_gaps.md,64,production brake-by-wire,Safe / negated scope statement,No action needed.,"| Production brake-by-wire validation | The output is a logical brake request, not a production actuator command |"
docs\34_what_to_show_during_presentation.md,125,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"`Some aspects are outside the concept-level scope, such as real brake hardware, real sensor fusion, HIL/SIL testing, and ISO 26262 compliance. These are documented as limitations.`"
docs\34_what_to_show_during_presentation.md,144,certified,Safe / negated scope statement,No action needed.,"`It does not claim production brake-by-wire validation, certified safety compliance, real sensor fusion, HIL/SIL testing, or ISO 26262 compliance.`"
docs\34_what_to_show_during_presentation.md,144,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"`It does not claim production brake-by-wire validation, certified safety compliance, real sensor fusion, HIL/SIL testing, or ISO 26262 compliance.`"
docs\34_what_to_show_during_presentation.md,144,production brake-by-wire,Safe / negated scope statement,No action needed.,"`It does not claim production brake-by-wire validation, certified safety compliance, real sensor fusion, HIL/SIL testing, or ISO 26262 compliance.`"
docs\35_ten_minute_pre_presentation_checklist.md,115,certified,Safe / negated scope statement,No action needed.,"`This is not a production brake-by-wire system, not a certified safety system, and not an ISO 26262-compliant validation.`"
docs\35_ten_minute_pre_presentation_checklist.md,115,production brake-by-wire,Safe / negated scope statement,No action needed.,"`This is not a production brake-by-wire system, not a certified safety system, and not an ISO 26262-compliant validation.`"
docs\39_black_box_mandatory_package.md,12,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"The system is intentionally limited to concept-level verification. It does not claim production brake-by-wire implementation, real sensor fusion, hardware validation, HIL/SIL testing, or ISO 26262 compliance."
docs\39_black_box_mandatory_package.md,12,production brake-by-wire,Safe / negated scope statement,No action needed.,"The system is intentionally limited to concept-level verification. It does not claim production brake-by-wire implementation, real sensor fusion, hardware validation, HIL/SIL testing, or ISO 26262 compliance."
docs\40_black_box_mandatory_diagrams.md,30,certified,Safe / negated scope statement,No action needed.,"These diagrams support concept-level system engineering and course presentation. They do not represent a production brake-by-wire architecture, real sensor-fusion architecture, or certified safety architecture."
docs\40_black_box_mandatory_diagrams.md,30,production brake-by-wire,Safe / negated scope statement,No action needed.,"These diagrams support concept-level system engineering and course presentation. They do not represent a production brake-by-wire architecture, real sensor-fusion architecture, or certified safety architecture."
docs\41_concept_generation_screening_scoring_mandatory.md,57,production brake-by-wire,Safe / negated scope statement,No action needed.,"This does not mean the project claims a production brake-by-wire actuator design. It means that, for a university-level concept-design and verification project, the electric linear actuator is the clearest physical candidate to connect the logical emergency brake-request output to a simple physical actuation concept."
docs\41_concept_generation_screening_scoring_mandatory.md,61,certified,Safe / negated scope statement,No action needed.,"The actuator selection is used only for concept-level physical allocation. The project does not model actuator dynamics in production detail, hydraulic pressure behaviour, hardware redundancy, diagnostic coverage, fail-operational design, or certified brake-by-wire safety architecture."
docs\41_concept_generation_screening_scoring_mandatory.md,61,certified brake-by-wire,Safe / negated scope statement,No action needed.,"The actuator selection is used only for concept-level physical allocation. The project does not model actuator dynamics in production detail, hydraulic pressure behaviour, hardware redundancy, diagnostic coverage, fail-operational design, or certified brake-by-wire safety architecture."
docs\42_concept_generation_screening_scoring_figures.md,25,certified,Safe / negated scope statement,No action needed.,"The actuator selection is used only for concept-level physical allocation. It does not represent a production brake-by-wire actuator design, certified safety architecture, real actuator dynamics model, or industrial hardware design."
docs\42_concept_generation_screening_scoring_figures.md,25,production brake-by-wire,Safe / negated scope statement,No action needed.,"The actuator selection is used only for concept-level physical allocation. It does not represent a production brake-by-wire actuator design, certified safety architecture, real actuator dynamics model, or industrial hardware design."
docs\43_white_box_decomposition_package.md,66,certified,Safe / negated scope statement,No action needed.,"This White Box decomposition is a university-level concept-design artifact. It does not claim to be a complete industrial MBSE model, certified brake-by-wire architecture, ISO 26262 safety case, or production hardware design."
docs\43_white_box_decomposition_package.md,66,certified brake-by-wire,Safe / negated scope statement,No action needed.,"This White Box decomposition is a university-level concept-design artifact. It does not claim to be a complete industrial MBSE model, certified brake-by-wire architecture, ISO 26262 safety case, or production hardware design."
docs\43_white_box_decomposition_package.md,66,safety case,Safe / negated scope statement,No action needed.,"This White Box decomposition is a university-level concept-design artifact. It does not claim to be a complete industrial MBSE model, certified brake-by-wire architecture, ISO 26262 safety case, or production hardware design."
docs\44_white_box_presentation_figures.md,53,certified,Safe / negated scope statement,No action needed.,"These White Box figures are university-level concept-design artifacts. They support transparent system decomposition and verification traceability. They do not claim a complete industrial MBSE implementation, production brake-by-wire actuator design, ISO 26262 safety case, or certified hardware architecture."
docs\44_white_box_presentation_figures.md,53,production brake-by-wire,Safe / negated scope statement,No action needed.,"These White Box figures are university-level concept-design artifacts. They support transparent system decomposition and verification traceability. They do not claim a complete industrial MBSE implementation, production brake-by-wire actuator design, ISO 26262 safety case, or certified hardware architecture."
docs\44_white_box_presentation_figures.md,53,safety case,Safe / negated scope statement,No action needed.,"These White Box figures are university-level concept-design artifacts. They support transparent system decomposition and verification traceability. They do not claim a complete industrial MBSE implementation, production brake-by-wire actuator design, ISO 26262 safety case, or certified hardware architecture."
docs\45_final_course_alignment_audit.md,42,production brake-by-wire,Safe / negated scope statement,No action needed.,"This audit checks university-level project evidence only. It does not claim industrial completeness, ISO 26262 validation, SOTIF validation, HIL/SIL testing, or production brake-by-wire design."
docs\46_final_repository_quality_check.md,50,production brake-by-wire,Safe / negated scope statement,No action needed.,"This quality check verifies the presence and organization of university-level project evidence. It does not certify industrial completeness, safety compliance, production brake-by-wire design, HIL/SIL validation, or formal automotive qualification."
docs\47_final_scope_claim_audit.md,7,certified,Safe / negated scope statement,No action needed.,"The project is intentionally positioned as a university-level, concept-level MBSE/RFLP and MATLAB/Simulink verification project. It does not claim industrial completeness, certified safety compliance, ISO 26262 validation, SOTIF validation, HIL/SIL validation, or production brake-by-wire design."
docs\47_final_scope_claim_audit.md,7,production brake-by-wire,Safe / negated scope statement,No action needed.,"The project is intentionally positioned as a university-level, concept-level MBSE/RFLP and MATLAB/Simulink verification project. It does not claim industrial completeness, certified safety compliance, ISO 26262 validation, SOTIF validation, HIL/SIL validation, or production brake-by-wire design."
docs\47_final_scope_claim_audit.md,23,production-ready,Safe / negated scope statement,No action needed.,"| `README.md` | 42 | production-ready | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,24,certified,Safe / negated scope statement,No action needed.,"| `README.md` | 43 | certified | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,25,production-ready,Safe / negated scope statement,No action needed.,"| `README.md` | 70 | production-ready | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,26,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| `README.md` | 72 | ISO 26262 compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,27,SOTIF compliance,Safe / negated scope statement,No action needed.,"| `README.md` | 73 | SOTIF compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,28,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `README.md` | 394 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,29,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `README.md` | 407 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,30,production-ready,Safe / negated scope statement,No action needed.,"| `README.md` | 465 | production-ready | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,31,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| `README.md` | 469 | ISO 26262 compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,32,SOTIF compliance,Safe / negated scope statement,No action needed.,"| `README.md` | 470 | SOTIF compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,33,SOTIF compliance,Safe / negated scope statement,No action needed.,"| `docs\02_black_box_analysis.md` | 92 | SOTIF compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,34,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\03_requirements_quality_review.md` | 48 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,35,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| `docs\03_rflp_architecture.md` | 145 | ISO 26262 compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,36,production-ready,Safe / negated scope statement,No action needed.,"| `docs\03_rflp_architecture.md` | 148 | production-ready | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,37,production-ready,Safe / negated scope statement,No action needed.,"| `docs\06_scope_and_limitations.md` | 22 | production-ready | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,38,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| `docs\06_scope_and_limitations.md` | 24 | ISO 26262 compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,39,SOTIF compliance,Safe / negated scope statement,No action needed.,"| `docs\06_scope_and_limitations.md` | 25 | SOTIF compliance | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,40,certified,Safe / negated scope statement,No action needed.,"| `docs\06_verification_plan.md` | 84 | certified | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,41,certified,Safe / negated scope statement,No action needed.,"| `docs\06_verification_plan.md` | 84 | certified brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,41,certified brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\06_verification_plan.md` | 84 | certified brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,42,certified,Safe / negated scope statement,No action needed.,"| `docs\08_assumptions_and_limitations.md` | 9 | certified | Rewrite to concept-level or explicitly negate the claim. |"
docs\47_final_scope_claim_audit.md,43,production brake-by-wire,Safe / negated scope statement,No action needed.,"| `docs\08_assumptions_and_limitations.md` | 20 | production brake-by-wire | Rewrite to concept-level or explicitly negate the claim. |"
